,id,shopName
0,22466403741247,嘉龙三叶元跑胡专卖店的小店
1,22098092834247,嘉龙三叶元跑胡专卖店的小店
2,22580037340247,嘉龙三叶元跑胡专卖店的小店
3,22516282053247,嘉龙三叶元跑胡专卖店的小店
4,22572095537247,嘉龙三叶元跑胡专卖店的小店
5,21773549753247,嘉龙三叶元跑胡专卖店的小店
6,22440712307247,嘉龙三叶元跑胡专卖店的小店
7,22455517522247,嘉龙三叶元跑胡专卖店的小店
8,21787510944247,嘉龙三叶元跑胡专卖店的小店
9,22125020967247,嘉龙三叶元跑胡专卖店的小店
10,22472815153247,嘉龙三叶元跑胡专卖店的小店
11,22507680743247,嘉龙三叶元跑胡专卖店的小店
12,22084011023247,嘉龙三叶元跑胡专卖店的小店
13,21768320436247,嘉龙三叶元跑胡专卖店的小店
14,22482797774247,嘉龙三叶元跑胡专卖店的小店
15,22575036568247,嘉龙三叶元跑胡专卖店的小店
16,21780586092247,嘉龙三叶元跑胡专卖店的小店
17,22502594588247,嘉龙三叶元跑胡专卖店的小店
18,22431060464247,嘉龙三叶元跑胡专卖店的小店
19,22107191688247,嘉龙三叶元跑胡专卖店的小店
20,21765426454247,嘉龙三叶元跑胡专卖店的小店
21,21756924877247,嘉龙三叶元跑胡专卖店的小店
22,22089543410247,嘉龙三叶元跑胡专卖店的小店
23,22117519231247,嘉龙三叶元跑胡专卖店的小店
24,21756520625247,嘉龙三叶元跑胡专卖店的小店
25,22492171814247,嘉龙三叶元跑胡专卖店的小店
26,21778225743247,嘉龙三叶元跑胡专卖店的小店
27,22420424479247,嘉龙三叶元跑胡专卖店的小店
